taxa	scientific_name	rank
Pinnularia divergens var. media	Pinnularia divergens var. media Krammer, 2000	VARIETY
Pinnularia divergens var. sublineariformis	Pinnularia divergens var. sublineariformis K.Krammer, 2000	VARIETY
Pinnularia divergens var. undulata	Pinnularia divergens var. undulata (M.Peragallo & Héribaud-Joseph) Hustedt, 1914	VARIETY
Pinnularia divergentissima	Pinnularia divergentissima (Grunow) Cleve, 1895	SPECIES
Pinnularia divergentissima var. divergentissima	Pinnularia divergentissima var. divergentissima	VARIETY
Pinnularia divergentissima var. martinii	Pinnularia divergentissima var. martinii (K.Krasske) K.Krammer, 1992	VARIETY
Pinnularia divergentissima var. minor	Pinnularia divergentissima var. minor Krammer, 1992	VARIETY
Pinnularia divergentissima var. triundulata	Pinnularia divergentissima var. triundulata K.Krammer, 2000	VARIETY
Pinnularia doloma var. fasciata	Pinnularia doloma var. fasciata K.Krammer, 2000	VARIETY
Pinnularia duitabilis var. minor	-	-
Pinnularia eifelana	Pinnularia eifelana (Krammer) Krammer, 2000	SPECIES
Pinnularia elegans	Pinnularia elegans (W.Smith) K.Krammer, 1992	SPECIES
Pinnularia episcopalis	Pinnularia episcopalis Cleve, 1891	SPECIES
Pinnularia esox	Pinnularia esox Ehrenberg, 1843	SPECIES
Pinnularia esoxiformis	Pinnularia esoxiformis Fusey, 1951	SPECIES
Pinnularia esoxiformis var. angusta	Pinnularia esoxiformis var. angustata K.Krammer, 2000	VARIETY
Pinnularia esoxiformis var. eifeliana	Pinnularia esoxiformis var. eifeliana Krammer, 1992	VARIETY
Pinnularia esoxiformis var. esoxiformis	Pinnularia esoxiformis var. esoxiformis	VARIETY
Pinnularia falaiseana	Pinnularia falaiseana K.Krammer, 1992	SPECIES
Pinnularia fottii	Pinnularia fottii Bily & Marvan, 1959	SPECIES
Pinnularia frauenbergiana	Pinnularia frauenbergiana E.Reichardt, 1985	SPECIES
Pinnularia frauenbergiana var. caloneiopsis	Pinnularia frauenbergiana var. caloneiopsis Lange-Bertalot & M.Werum, 2004	VARIETY
Pinnularia frauenbergiana var. frauenbergiana	Pinnularia frauenbergiana var. frauenbergiana	VARIETY
Pinnularia frequentis	Pinnularia frequentis K.Krammer, 2000	SPECIES
Pinnularia gentilis	Pinnularia gentilis (Donkin) Cleve, 1891	SPECIES
Pinnularia gibba	Pinnularia gibba Ehrenberg, 1843	SPECIES
Pinnularia gibba var. gibba	Pinnularia gibba var. gibba	VARIETY
Pinnularia gibba var. linearis	Pinnularia gibba var. linearis Godward, 1937	VARIETY
Pinnularia gibba var. mesogongyla	Pinnularia gibba var. mesogongyla (Ehrenberg) Hustedt, 1930	VARIETY
Pinnularia gibbiformis	Pinnularia gibbiformis K.Krammer, 1992	SPECIES
Pinnularia gigas	Pinnularia gigas Ehrenberg, 1843	SPECIES
Pinnularia globiceps	Pinnularia globiceps W.Gregory, 1856	SPECIES
Pinnularia globiceps var. globiceps	Pinnularia globiceps var. globiceps	VARIETY
Pinnularia globiceps var. linearis	Pinnularia globiceps var. linearis Krammer, 2000	VARIETY
Pinnularia graciloides	Pinnularia graciloides Hustedt, 1937	SPECIES
Pinnularia graciloides var. graciloides	Pinnularia graciloides var. graciloides	VARIETY
Pinnularia graciloides var. triundulata	Pinnularia graciloides var. triundulata (Fontell) Krammer, 2000	VARIETY
Pinnularia grunowii	Pinnularia grunowii Krammer, 2000	SPECIES
Pinnularia halophila	Pinnularia halophila K.Krammer, 1992	SPECIES
Pinnularia hemiptera	Pinnularia hemiptera (Kützing) Rabenhorst, 1853	SPECIES
Pinnularia ignobilis	Pinnularia ignobilis (Krasske) Cleve-Euler	SPECIES
Pinnularia incognita	Pinnularia incognita G.Krasske, 1939	SPECIES
Pinnularia inconstans	Pinnularia inconstans A.Mayer, 1916	SPECIES
Pinnularia inculpata	Pinnularia inculpata F.Hustedt, 1950	SPECIES
Pinnularia infirma	Pinnularia infirma Krammer, 1985	SPECIES
Pinnularia intermedia	Pinnularia intermedia (Lagerstedt) Cleve, 1895	SPECIES
Pinnularia interrupta	Pinnularia interrupta Pedicino, 1867	SPECIES
Pinnularia interruptiformis	Pinnularia interruptiformis K.Krammer, 2000	SPECIES
Pinnularia irrorata	Pinnularia irrorata (Grunow) Hustedt, 1942	SPECIES
Pinnularia islandica	Pinnularia islandica Østrup, 1918	SPECIES
Pinnularia isselana	Pinnularia isselana K.Krammer, 2000	SPECIES
Pinnularia joculata	Pinnularia joculata (Manguin) K.Krammer, 2000	SPECIES
Pinnularia karelica	Pinnularia karelica Cleve, 1891	SPECIES
Pinnularia kittelii	Pinnularia kittelii Krammer, 2000	SPECIES
Pinnularia kneuckeri	Pinnularia kneuckeri Hust., 1949	SPECIES
Pinnularia krookiformis	Pinnularia krookiformis K.Krammer, 1992	SPECIES
Pinnularia krookii	Pinnularia krookii (Grunow) Cleve, 1891	SPECIES
Pinnularia kuetzingii	Pinnularia kuetzingii K.Krammer, 1992	SPECIES
Pinnularia lagerstedtii	Pinnularia lagerstedtii (Cleve) Cleve-Euler, 1934	SPECIES
Pinnularia lata	Pinnularia lata (Brébisson) W.Smith, 1853	SPECIES
Pinnularia latarea	Pinnularia latarea Krammer, 2000	SPECIES
Pinnularia latarea var. latarea	Pinnularia latarea var. latarea	VARIETY
Pinnularia latarea var. thermophila	Pinnularia latarea var. thermophila K.Krammer, 2000	VARIETY
Pinnularia legumen	Pinnularia legumen Ehrenberg, 1843	SPECIES
Pinnularia legumiformis	Pinnularia legumiformis K.Krammer, 1992	SPECIES
Pinnularia leptosoma	Pinnularia leptosoma (Grunow) Cleve, 1895	SPECIES
Pinnularia lundii	Pinnularia lundii Hustedt, 1954	SPECIES
Pinnularia lundii var. baltica	Pinnularia lundii var. baltica K.Krammer, 1992	VARIETY
Pinnularia lundii var. linearis	Pinnularia lundii var. linearis K.Krammer, 2000	VARIETY
Pinnularia lundii var. lundii	Pinnularia lundii var. lundii	VARIETY
Pinnularia macilenta	Pinnularia macilenta Ehrenberg, 1843	SPECIES
Pinnularia maior	Pinnularia major (Kützing) Rabenhorst, 1853	SPECIES
Pinnularia major var. transversa	Pinnularia major var. transversa (Schmidt) Cleve, 1981	VARIETY
Pinnularia marchica	Pinnularia marchica Ilka Schönfelder, 2000	SPECIES
Pinnularia mareifelana	Pinnularia mareifelana K.Krammer, 2000	SPECIES
Pinnularia mayeri	Pinnularia mayeri K.Krammer, 1992	SPECIES
Pinnularia mayeri var. mayeri	Pinnularia mayeri var. mayeri	VARIETY
Pinnularia mayeri var. similis	Pinnularia mayeri var. similis K.Krammer, 1992	VARIETY
Pinnularia mesogongyla	Pinnularia mesogongyla Ehrenberg, 1843	SPECIES
Pinnularia mesolepta	Pinnularia mesolepta (Ehrenberg) W.Smith, 1853	SPECIES
Pinnularia mesolepta var. gibberula	Pinnularia mesolepta var. gibberula (Hustedt) K.Krammer, 1992	VARIETY
Pinnularia mesolepta var. intermedia	Pinnularia mesolepta var. intermedia (A.Robert) K.Krammer, 1992	VARIETY
Pinnularia mesolepta var. mesolepta	Pinnularia mesolepta var. mesolepta	VARIETY
Pinnularia mesolepta var. minuta	Pinnularia mesolepta f. minuta Cleve-Euler, 1922	FORM
Pinnularia microstauron	Pinnularia microstauron Mayer, 1913	SPECIES
Pinnularia microstauron var. angusta	Pinnularia microstauron var. angusta K.Krammer, 2000	VARIETY
Pinnularia microstauron var. biundulata	Pinnularia microstauron var. biundulata (Otto Müller) Mayer, 1913	VARIETY
Pinnularia microstauron var. brebissonii	Pinnularia microstauron var. brebissonii Skvortzow, 1930	VARIETY
Pinnularia microstauron var. microstauron	Pinnularia microstauron var. microstauron	VARIETY
Pinnularia microstauron var. nonfasciata	Pinnularia microstauron var. nonfasciata Krammer, 2000	VARIETY
Pinnularia microstauron var. rostrata	Pinnularia microstauron var. rostrata K.Krammer, 2000	VARIETY
Pinnularia moelleri	Pinnularia moelleri K.Krammer, 2000	SPECIES
Pinnularia neglectiformis	Pinnularia neglectiformis K.Krammer, 2000	SPECIES
Pinnularia neomajor	Pinnularia neomajor K.Krammer, 1992	SPECIES
Pinnularia neomajor var. cuneata	Pinnularia neomajor var. cuneata K.Krammer, 2000	VARIETY
Pinnularia neomajor var. intermedia	Pinnularia neomajor var. intermedia (Cleve) K.Krammer, 2000	VARIETY
Pinnularia neomajor var. neomajor	Pinnularia neomajor var. neomajor	VARIETY
Pinnularia nobilis	Pinnularia nobilis (Ehrenberg) Ehrenberg, 1843	SPECIES
Pinnularia nobilis var. nobilis	Pinnularia nobilis var. nobilis	VARIETY
Pinnularia nobilis var. regularis	Pinnularia nobilis var. regularis Krammer, 2000	VARIETY
Pinnularia nodosa	Pinnularia nodosa (Ehrenberg) W.Smith, 1856	SPECIES
Pinnularia nodosa var. nodosa	Pinnularia nodosa var. nodosa	VARIETY
Pinnularia nodosa var. percapitata	Pinnularia nodosa var. percapitata K.Krammer, 2000	VARIETY
Pinnularia nodosa var. pseudogracillima	Pinnularia nodosa var. pseudogracillima Ant.Mayer, 1913	VARIETY
Pinnularia nodosa var. robusta	Pinnularia nodosa var. robusta (Foged) K.Krammer, 2000	VARIETY
Pinnularia notabilis	Pinnularia notabilis Krammer, 1985	SPECIES
Pinnularia obscura	Pinnularia obscura Krasske, 1932	SPECIES
Pinnularia obscuriformis	Pinnularia obscuriformis K.Krammer, 2000	SPECIES
Pinnularia oriunda	Pinnularia oriunda K.Krammer, 1992	SPECIES
Pinnularia oriundiformis	Pinnularia oriundiformis K.Krammer, 2000	SPECIES
Pinnularia ovata	Pinnularia ovata K.Krammer, 2000	SPECIES
Pinnularia palatina	Pinnularia palatina H.Lange-Bertalot & W.Krüger, 2004	SPECIES
Pinnularia parallela	Pinnularia parallela Pantocsek & Greguss, 1913	SPECIES
Pinnularia parvulissima	Pinnularia parvulissima Krammer, 2000	SPECIES
Pinnularia peracuminata	Pinnularia peracuminata Krammer, 2000	SPECIES
Pinnularia percuneata	Pinnularia percuneata Krammer, 2000	SPECIES
Pinnularia percuneata var. constricta	Pinnularia percuneata var. constricta K.Krammer, 2000	VARIETY
Pinnularia percuneata var. percuneata	Pinnularia percuneata var. percuneata	VARIETY
Pinnularia perirrorata	Pinnularia perirrorata Krammer, 2000	SPECIES
Pinnularia perspicua	Pinnularia perspicua K.Krammer, 2000	SPECIES
Pinnularia persudetica var. silvatica	Pinnularia persudetica var. silvatica K.Krammer, 2000	VARIETY
Pinnularia pisciculus	Pinnularia pisciculus Ehrenberg, 1843	SPECIES
Pinnularia platycephala	Pinnularia platycephala (Ehrenberg) Cleve, 1891	SPECIES
Pinnularia polyonca	Pinnularia polyonca (Brébisson) W.Smith, 1856	SPECIES
Pinnularia polyonca var. polyonca	Pinnularia polyonca var. polyonca	VARIETY
Pinnularia polyonca var. similis	Pinnularia polyonca var. similis (Krammer) Krammer, 2000	VARIETY
Pinnularia problematica	Pinnularia problematica (Østrup) F.W.Mills, 1934	SPECIES
Pinnularia pseudogibba	Pinnularia pseudogibba Krammer, 1992	SPECIES
Pinnularia pseudogibba var. pseudogibba	Pinnularia pseudogibba var. pseudogibba	VARIETY
Pinnularia pseudogibba var. rostrata	Pinnularia pseudogibba var. rostrata K.Krammer, 1992	VARIETY
Pinnularia pulchra	Pinnularia pulchra Østrup, 1897	SPECIES
Pinnularia pulchra var. angusta	Pinnularia pulchra var. angusta (Cleve) Krammer, 1985	VARIETY
Pinnularia pulchra var. pulchra	Pinnularia pulchra var. pulchra	VARIETY
Pinnularia rabenhorstii	Pinnularia rabenhorstii Hilse, 1861	SPECIES
Pinnularia rabenhorstii var. franconica	Pinnularia rabenhorstii Hilse, 1861	SPECIES
Pinnularia rabenhorstii var. rabenhorstii	Pinnularia rabenhorstii Hilse, 1861	SPECIES
Pinnularia rathsbergiana	Pinnularia rathsbergiana K.Krammer, 2000	SPECIES
Pinnularia reichardtii	Pinnularia reichardtii K.Krammer, 2000	SPECIES
Pinnularia renata	Pinnularia renata K.Krammer, 1992	SPECIES
Pinnularia renatiformis	Pinnularia renatiformis K.Krammer, 2000	SPECIES
Pinnularia rhenohassiaca	Pinnularia rhenohassiaca K.Krammer & Lange-Bertalot, 2000	SPECIES
Pinnularia rhombarea	Pinnularia rhombarea Krammer, 1998	SPECIES
Pinnularia rhombarea var. biundulata	Pinnularia rhombarea var. biundulata (Otto Müller) K.Krammer, 2000	VARIETY
Pinnularia rhombarea var. halophila	Pinnularia rhombarea var. halophila K.Krammer, 2000	VARIETY
Pinnularia rhombarea var. rhombarea	Pinnularia rhombarea var. rhombarea	VARIETY
Pinnularia rhombarea var. undulata	Pinnularia rhombarea var. undulata K.Krammer, 2000	VARIETY
Pinnularia rhombarea var. variarea	Pinnularia rhombarea var. variarea K.Krammer, 2000	VARIETY
Pinnularia rhomboelliptica	Pinnularia rhomboelliptica K.Krammer, 2000	SPECIES
Pinnularia rhomboelliptica var. inflata	Pinnularia rhomboelliptica var. inflata K.Krammer, 2000	VARIETY
Pinnularia rhomboelliptica var. rhomboelliptica	Pinnularia rhomboelliptica var. rhomboelliptica	VARIETY
Pinnularia rumrichae	Pinnularia rumrichae Krammer, 2000	SPECIES
Pinnularia rupestris	Pinnularia rupestris Hantzsch, 1861	SPECIES
Pinnularia rupestris var. cuneata	Pinnularia rupestris var. cuneata K.Krammer, 1992	VARIETY
Pinnularia rupestris var. rupestris	Pinnularia rupestris var. rupestris	VARIETY
Pinnularia ruttneri var. lauenburgiana	Pinnularia ruttneri var. lauenbergiana Hustedt, 1950	VARIETY
Pinnularia saprophila	Pinnularia saprophila Lange-Bertalot, Kobayasi & Krammer, 2000	SPECIES
Pinnularia schimanskii	Pinnularia schimanskii Krammer, 2000	SPECIES
Pinnularia schoenfelderi	Pinnularia schoenfelderi Krammer, 1992	SPECIES
Pinnularia schroederii	Pinnularia schroederii (Hustedt) Krammer, 1985	SPECIES
Pinnularia schroeterae	Pinnularia schroeterae Krammer, 2000	SPECIES
Pinnularia schroeterae var. elliptica	Pinnularia schroeterae var. elliptica Krammer, 2000	VARIETY
Pinnularia schroeterae var. schroeterae	Pinnularia schroeterae var. schroeterae	VARIETY
Pinnularia scotica	Pinnularia scotica Krammer, 2000	SPECIES
Pinnularia silvatica	Pinnularia silvatica J.B.Petersen, 1935	SPECIES
Pinnularia similiformis	Pinnularia similiformis K.Krammer, 1992	SPECIES
Pinnularia similis	Pinnularia similis Hustedt, 1934	SPECIES
Pinnularia simonsenii	Pinnularia simonsenii K.Krammer, 2000	SPECIES
Pinnularia sinistra	Pinnularia sinistra Krammer, 1992	SPECIES
Pinnularia socialis var. debesii	Pinnularia socialis var. debesii (Hustedt) Krammer, 2000	VARIETY
Pinnularia stauroptera	Pinnularia stauroptera	SPECIES
Pinnularia stidolphii	Pinnularia stidolphii Krammer, 2000	SPECIES
Pinnularia stomatophora	Pinnularia stomatophora (Grunow) Cleve, 1895	SPECIES
Pinnularia stomatophora var. erlangensis	Pinnularia stomatophora (Grunow) Cleve, 1895	SPECIES
Pinnularia stomatophora var. irregularis	Pinnularia stomatophora var. irregularis K.Krammer, 2000	VARIETY
Pinnularia stomatophora var. stomatophora	Pinnularia stomatophora var. stomatophora	VARIETY
Pinnularia stomatophora var. triundulata	Pinnularia stomatophora var. triundulata Hustedt, 1942	VARIETY
Pinnularia streckerae	Pinnularia streckerae Krammer, 2000	SPECIES
Pinnularia streptoraphe	Pinnularia streptoraphe Cleve, 1891	SPECIES
Pinnularia streptoraphe var. minor	Pinnularia streptoraphe var. minor Skvortzow, 1938	VARIETY
Pinnularia streptoraphe var. parva	Pinnularia streptoraphe var. parva K.Krammer, 1992	VARIETY
Pinnularia streptoraphe var. streptoraphe	Pinnularia streptoraphe var. streptoraphe	VARIETY
Pinnularia subanglica	Pinnularia subanglica K.Krammer, 2000	SPECIES
Pinnularia subcapitata	Pinnularia subcapitata W.Gregory, 1856	SPECIES
Pinnularia subcapitata var. elongata	Pinnularia subcapitata var. elongata Krammer, 1992	VARIETY
Pinnularia subcapitata var. hilseana	Pinnularia subcapitata var. hilseana Mayer, 1917	VARIETY
Pinnularia subcapitata var. subcapitata	Pinnularia subcapitata var. subcapitata	VARIETY
Pinnularia subcapitata var. subcapitata	Pinnularia subcapitata var. subcapitata	VARIETY
Pinnularia subcapitata var. subrostrata	Pinnularia subcapitata var. subrostrata Krammer, 1992	VARIETY
Pinnularia subcommutata	Pinnularia subcommutata Krammer, 1992	SPECIES
Pinnularia subcommutata var. nonfasciata	Pinnularia subcommutata var. nonfasciata K.Krammer, 2000	VARIETY
Pinnularia subcommutata var. subcommutata	Pinnularia subcommutata var. subcommutata	VARIETY
Pinnularia subdivergens	Pinnularia subdivergens K.Krammer, 1992	SPECIES
Pinnularia subfalaiseana	Pinnularia subfalaiseana K.Krammer, 2000	SPECIES
Pinnularia subgibba	Pinnularia subgibba Krammer, 1992	SPECIES
Pinnularia subgibba var. hustedtii	Pinnularia subgibba var. hustedtii K.Krammer, 1992	VARIETY
Pinnularia subgibba var. subgibba	Pinnularia subgibba var. subgibba	VARIETY
Pinnularia subgibba var. undulata	Pinnularia subgibba var. undulata Krammer, 1992	VARIETY
Pinnularia subinterrupta	Pinnularia subinterrupta Krammer & Schroeter, 1992	SPECIES
Pinnularia submicrostauron	Pinnularia submicrostauron S.Schroeter, 1992	SPECIES
Pinnularia subrabenhorstii	Pinnularia subrabenhorstii Krammer, 2000	SPECIES
Pinnularia subrhombica	Pinnularia subrhombica K.Krammer, 2000	SPECIES
Pinnularia subrhombica var. angusta	Pinnularia subrhombica var. angusta K.Krammer, 2000	VARIETY
Pinnularia subrhombica var. subrhombica	Pinnularia subrhombica var. subrhombica	VARIETY
Pinnularia subrostrata	Pinnularia subrostrata K.E.Lohman & G.W.Andrews, 1968	SPECIES
Pinnularia subrupestris	Pinnularia subrupestris K.Krammer, 1992	SPECIES
Pinnularia subrupestris var. cruciata	Pinnularia subrupestris var. cruciata K.Krammer, 2000	VARIETY
Pinnularia subrupestris var. parva	Pinnularia subrupestris var. parva K.Krammer, 1992	VARIETY
Pinnularia subrupestris var. subrupestris	Pinnularia subrupestris var. subrupestris	VARIETY
Pinnularia substreptoraphe	Pinnularia substreptoraphe K.Krammer, 2000	SPECIES
Pinnularia subundulata	Pinnularia subundulata Cleve, 1900	SPECIES
Pinnularia suchlandtii	Pinnularia suchlandti Hustedt, 1943	SPECIES
Pinnularia sudetica	Pinnularia sudetica (Hilse) Hilse, 1861	SPECIES
Pinnularia sudetica var. brittanica	Pinnularia sudetica var. brittanica (Grunow) K.Krammer, 1992	VARIETY
Pinnularia sudetica var. sudetica	Pinnularia sudetica var. sudetica	VARIETY
Pinnularia tirolensis	Pinnularia tirolensis (Metzeltin & Krammer) K.Krammer, 2000	SPECIES
Pinnularia transversa	Pinnularia transversa (A.Schmidt) Mayer, 1939	SPECIES
Pinnularia turbulenta	Pinnularia turbulenta (Cleve-Euler) Krammer, 2000	SPECIES
Pinnularia undula	Pinnularia undula (Schumann) K.Krammer, 2000	SPECIES
Pinnularia undula var. cuneata	Pinnularia undula var. cuneata (Hustedt) K.Krammer, 2000	VARIETY
Pinnularia undula var. undula	Pinnularia undula var. undula	VARIETY
Pinnularia undulata	Pinnularia undulata Pantocsek & Greguss, 1913	SPECIES
Pinnularia viridiformis	Pinnularia viridiformis Krammer, 2000	SPECIES
Pinnularia viridiformis var. minor	Pinnularia viridiformis var. minor Krammer, 2000	VARIETY
Pinnularia viridiformis var. viridiformis	Pinnularia viridiformis var. viridiformis	VARIETY
Pinnularia viridis	Pinnularia viridis (Nitzsch) Ehrenberg, 1843	SPECIES
Pinnularia viridis var. commutata	Pinnularia viridis var. commutata (Grunow) Cleve, 1895	VARIETY
Pinnularia viridis var. viridis	Pinnularia viridis var. viridis	VARIETY
Pinnularia viridoides	Pinnularia viridoides Krammer, 1992	SPECIES
Pinnularia woerthensis	Pinnularia woerthensis (A.Mayer) K.Krammer, 1992	SPECIES
Pinnunavis	Pinnunavis H.Okuno, 1975	GENUS
Pinnunavis elegans	Pinnunavis elegans (W.Smith) Okuno, 1975	SPECIES
Pinnunavis genustriata	Pinnuavis genustriata (Hustedt) H.Lange-Bertalot & K.Krammer, 1999	SPECIES
Placoneis	Placoneis C.Mereschkowsky, 1903	GENUS
Placoneis abiskoensis	Placoneis abiskoensis (Hustedt) Lange-Bertalot & D.Metzeltin, 1996	SPECIES
Placoneis amphibola	Placoneis amphibola (Cleve) E.J.Cox, 2003	SPECIES
Placoneis anglica	Placoneis anglica (Ralfs) E.J.Cox	SPECIES
Placoneis clementioides	Placoneis clementioides (Hustedt) E.J.Cox, 1988	SPECIES
Placoneis clementis	Placoneis clementis (Grunow) E.J.Cox, 1987	SPECIES
Placoneis constans	Placoneis constans (Hustedt) E.J.Cox, 2003	SPECIES
Placoneis elginensis	Placoneis elginensis (W.Greg.) Cox	SPECIES
Placoneis explanata	Placoneis explanata (Hustedt) Mayama	SPECIES
Placoneis gastrum	Placoneis gastrum (Ehrenberg) Mereschkovsky, 1903	SPECIES
Placoneis hambergii	Placoneis hambergii (Hustedt) K.Bruder, 2007	SPECIES
Placoneis ignorata	Placoneis ignorata (Schimanski) Lange-Bertalot, 2000	SPECIES
Placoneis lucinensis	Placoneis C.Mereschkowsky, 1903	GENUS
Placoneis minor	Placoneis minor (Grunow) H.Lange-Bertalot, 2005	SPECIES
Placoneis navicularis	Placoneis navicularis (Ehrenberg) E.J.Cox, 2003	SPECIES
Placoneis neoexigua	Placoneis neoexigua Lange-Bertalot & Miho, 2006	SPECIES
Placoneis opportuna	Placoneis opportuna (Hust.) Chudaev & Gololobova, 2016	SPECIES
Placoneis paraelginensis	Placoneis paraelginensis Lange-Bertalot, 2000	SPECIES
Placoneis placentula	Placoneis placentula Heinzerling, 1908	SPECIES
Placoneis porifera	Placoneis porifera (Hustedt) T.Ohtsuka & Y.Fujita	SPECIES
Placoneis pseudanglica	Placoneis pseudanglica E.J.Cox, 1987	SPECIES
Placoneis pseudanglica var. pseudanglica	Placoneis pseudanglica var. pseudanglica	VARIETY
Placoneis pseudanglica var. signata	Placoneis pseudanglica var. signata	VARIETY
Placoneis rhombica	Placoneis rhombica (Brockmann) Lange-Bertalot, 2005	SPECIES
Placoneis rostrata	Placoneis rostrata (A.Mayer) E.J.Cox, 2003	SPECIES
Placoneis signata	Placoneis signata (Hustedt) A.Mayama, 1998	SPECIES
Placoneis significans	Placoneis significans (Hustedt) Lange-Bertalot, 2005	SPECIES
Placoneis subplacentula	Placoneis subplacentula (Hustedt) E.J.Cox, 2003	SPECIES
Placoneis symmetrica	Placoneis symmetrica (Hust.) Lange-Bert.	SPECIES
Placoneis undulata	Placoneis undulata (Østrup) Lange-Bertalot	SPECIES
Plagiogramma	-	-
Plagiogramma staurophorum	Plagiogramma staurophorum (W.Gregory) Heiberg, 1863	SPECIES
Plagiogrammopsis	Plagiogrammopsis G.R.Hasle, H.A.von Stosch & E.E.Syvertsem, 1983	GENUS
Plagiogrammopsis vanheurckii	Plagiogrammopsis vanheurckii (Grunow) Hasle, von Stosch & Syvertsen, 1983	SPECIES
Planothidium	Planothidium F.E.Round & L.Bukhtiyarova, 1996	GENUS
Planothidium biporomum	Planothidium biporomum (M.H.Hohn & Hellerman) Lange-Bertalot, 1999	SPECIES
Planothidium calcar	Planothidium calcar (Cleve) Round & Bukhtiyarova, 1996	SPECIES
Planothidium daui	Planothidium daui (Foged) Lange-Bertalot, 1999	SPECIES
Planothidium delicatulum	Planothidium delicatulum (Kützing) Round & Bukhtiyarova, 1996	SPECIES
Planothidium dispar	Planothidium dispar (Cleve) Witkowski, Lange-Bertalot & Metzeltin, 2000	SPECIES
Planothidium distinctum	Planothidium distinctum (Messikommer) Lange-Bertalot, 1999	SPECIES
Planothidium dubium	Planothidium dubium (Grunow) Round & Bukhtiyarova, 1996	SPECIES
Planothidium engelbrechtii	Planothidium engelbrechtii (Cholnoky) Round & L.Bukhtiyarova, 1996	SPECIES
Planothidium frequentissimum	Planothidium frequentissimum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Planothidium frequentissimum var. frequentissimum	Planothidium frequentissimum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Planothidium frequentissimum var. magnum	Planothidium frequentissimum var. magnum (F.Straub) Lange-Bertalot, 1999	VARIETY
Planothidium frequentissimum var. minus	Planothidium frequentissimum var. minus (Schulz-Danzig) Lange-Bertalot, 1999	VARIETY
Planothidium granum	Planothidium granum (M.H.Hohn & Hellerman) Lange-Bertalot, 1999	SPECIES
Planothidium hauckianum	Planothidium hauckianum (Grunow) Round & Bukhtiyarova, 1996	SPECIES
Planothidium haynaldii	Planothidium haynaldii (Schaarschmidt) Lange-Bertalot, 1999	SPECIES
Planothidium joursacense	Planothidium joursacense (Héribaud-Joseph) Lange-Bertalot, 1999	SPECIES
Planothidium lanceolatum	Planothidium lanceolatum (Brébisson ex Kützing) Bukhtiyarova, 1999	SPECIES
Planothidium lanceolatum - Sippen	Planothidium lanceolatum (Brébisson ex Kützing) Bukhtiyarova, 1999	SPECIES
Planothidium linkei	Planothidium linkei (Hustedt) Lange-Bertalot, 1999	SPECIES
Planothidium minutissimum	Planothidium minutissimum (Krasske) Lange-Bertalot, 1999	SPECIES
Planothidium oestrupii	Planothidium oestrupii (A.Cleve) Round & L.Bukhtiyarova, 1996	SPECIES
Planothidium oestrupii var. aperta	Planothidium oestrupii (A.Cleve) Round & L.Bukhtiyarova, 1996	SPECIES
Planothidium oestrupii var. oestrupii	Planothidium oestrupii (A.Cleve) Round & L.Bukhtiyarova, 1996	SPECIES
Planothidium peragalli	Planothidium peragallii (Brun & Héribaud) Round & Bukhtiyarova, 1996	SPECIES
Planothidium pericavum	Planothidium pericavum (J.R.Carter) Lange-Bertalot, 1999	SPECIES
Planothidium polaris	Planothidium polaris (Østrup) Witkowski	SPECIES
Planothidium pseudotanense	Planothidium pseudotanense (Cleve-Euler) Lange-Bertalot, 1999	SPECIES
Planothidium pungens	Planothidium pungens (Cleve-Euler) Lange-Bertalot, 1999	SPECIES
Planothidium reichardtii	Planothidium reichardtii H.Lange-Bertalot & M.Werum, 2004	SPECIES
Planothidium robustum	Planothidium robustum (Hustedt) Lange-Bertalot, 1999	SPECIES
Planothidium rostratum	Planothidium rostratum (Østrup) Lange-Bertalot, 1999	SPECIES
Planothidium septentrionale	Planothidium septentrionalis (Østrup) Round & Bukhtiyarova, 1996	SPECIES
Planothidium sopotense	Planothidium sopotense H.Lange-Bertalot & M.Dziengo, 2004	SPECIES
Platessa	-	-
Platessa bavarica	Platessa bavarica Lange-Bertalot & Hofmann, 2004	SPECIES
Platessa conspicua	Platessa conspicua (A.Mayer) Lange-Bertalot, 2004	SPECIES
Platessa holsatica	Platessa holsatica (Hustedt) H.Lange-Bertalot, 2004	SPECIES
Platessa hustedtii	Platessa hustedtii (Krasske) Lange-Bertalot, 2004	SPECIES
Platessa montana	Platessa montana (Krasske) H.Lange-Bertalot, 2004	SPECIES
Platessa oblongella	Platessa oblongella (Østrup) C.E.Wetzel, Lange-Bertalot & Ector	SPECIES
Platessa rupestris	Platessa rupestris (Krasske) Lange-Bertalot, 2004	SPECIES
Platessa ziegleri	Platessa ziegleri (Lange-Bertalot) H.Lange-Bertalot, 2004	SPECIES
Pleurosigma	Pleurosigma W.Smith, 1852	GENUS
Pleurosigma angulatum	Pleurosigma angulatum (Queckett) W.Smith, 1852	SPECIES
Pleurosigma elongatum	Pleurosigma elongatum W.Smith, 1852	SPECIES
Pleurosigma salinarum	Pleurosigma salinarum (Grunow) Grunow, 1880	SPECIES
Pleurosira	Pleurosira (G.Meneghini) V.B.A.Trevisan di San Leon, 1848	GENUS
Pleurosira laevis	Pleurosira laevis (Ehrenberg) Compère, 1982	SPECIES
