taxa	harmonized_name	rank
Navicula vitabunda	Navicula vitabunda Hustedt, 1930	SPECIES
Navicula ventraloconfusa	Navicula ventraloconfusa Lange-Bertalot, 1989	SPECIES
Navicula veneta terato	Navicula veneta Kützing	SPECIES
Navicula ventralis	Navicula ventralis Krasske, 1923	SPECIES
Nitzschia vitrea f. major	Nitzschia vitrea f. major Grunow, 1881	FORM
Navicula ventraloides	Navicula ventraloides Hustedt, 1945	SPECIES
Navicula viridula var. viridula f. linearis	Navicula viridula f. linearis (Hustedt) H.Kobayasi	FORM
Nitzschia vixpalea	Nitzschia vixpalea H.Lange-Bertalot & M.Werum, 2014	SPECIES
Navicula walkeri	Navicula walkeri Sovereign	SPECIES
Navicula wittrockii f. directarea	Navicula wittrockii f. directarea Maillard, 1978	FORM
Navicula wiesneri	Navicula wiesneri Lange-Bertalot	SPECIES
Navicula wolterecki	Navicula woltereckii Hustedt	SPECIES
Nitzschia wuellerstorfii	Nitzschia wuellerstorffii Lange-Bertalot, 1987	SPECIES
Navicula abdita	Navicula abdita Krasske, 1929	SPECIES
Navicula associata	Navicula associata Lange-Bertalot	SPECIES
Navicula elginensis var. cuneata	Navicula elginensis var. cuneata Kobayasi, 1975	VARIETY
Navicula mutica	Navicula mutica Grunow, 1860	SPECIES
Navicula sculpta	Navicula sculpta Ehrenberg, 1854	SPECIES
Navicula schmassmannii	Navicula schmassmannii Hustedt	SPECIES
Navicula sculpta var. minima	Navicula sculpta Ehrenberg, 1854	SPECIES
Navicula sculpta var. temperei	Navicula sculpta Ehrenberg, 1854	SPECIES
Navicula irritans	Navicula irritans Cholnoky, 1959	SPECIES
Navicula mutica	Navicula mutica Grunow, 1860	SPECIES
Navicula pseudagrestis	Navicula pseudagrestis Lund, 1946	SPECIES
Navicula pseudatomus	Navicula pseudatomus Lund, 1946	SPECIES
Nitzschia amphibia var. acutiuscula	Nitzschia amphibia var. acutiuscula Grunow, 1880	VARIETY
Nitzschia accedens	Nitzschia accedens Hustedt	SPECIES
Nitzschia adamata	Nitzschia adamata Hustedt, 1957	SPECIES
Nitzschia angustatula	Nitzschia angustatula Lange-Bertalot, 1987	SPECIES
Nitzschia acicularioides	Nitzschia acicularioides Archibald, 1966	SPECIES
Nitzschia bacata	Nitzschia bacata Hustedt, 1937	SPECIES
Nitzschia arcuata var. subarcuata	Nitzschia arcuata Gregory, 1859	SPECIES
Nitzschia compressa var. balatonis	Nitzschia compressa var. balatonis (Grunow) Lange-Bertalot, 1987	VARIETY
Nitzschia conferta	Nitzschia conferta (Richter) M.Peragallo, 1903	SPECIES
Nitzschia congolensis	Nitzschia congolensis Hustedt, 1949	SPECIES
Nitzschia clausii terato	Nitzschia clausii Hantzsch, 1860	SPECIES
Nitzschia denticula var. curta	Nitzschia denticula var. curta Cleve-Euler, 1952	VARIETY
Nitzschia diserta	Nitzschia diserta Hustedt, 1949	SPECIES
Nitzschia frustulum var. tenella	Nitzschia frustulum var. tenella Grunow, 1881	VARIETY
Nitzschia garrensis	Nitzschia garrensis Hustedt, 1950	SPECIES
Nitzschia graciloides	Nitzschia graciloides Gandhi, 1970	SPECIES
Nitzschia holsatica	Nitzschia holsatica Hustedt, 1930	SPECIES
Nitzschia indistincta	Nitzschia indistincta Michailov, 1984	SPECIES
Nitzschia inconspicua terato	Nitzschia inconspicua Grunow, 1862	SPECIES
Nitzschia linearis var. tenuis	Nitzschia linearis var. tenuis (W.Smith) Grunow, 1880	VARIETY
Nitzschia macedonica	Nitzschia macedonica Hustedt, 1945	SPECIES
Nitzschia manca	Nitzschia manca Hustedt, 1957	SPECIES
Nitzschia minuta	Nitzschia minuta Bleisch, 1863	SPECIES
Nitzschia palustris var. minor	Nitzschia palustris var. minor Tynni, 1980	VARIETY
Nitzschia pusilla terato	Nitzschia pusilla Grunow, 1862	SPECIES
Nitzschia perpusilla	Nitzschia perpusilla Grunow, 1862	SPECIES
Nitzschia recta terato	Nitzschia recta Grunow, 1880	SPECIES
Nitzschia silica	Nitzschia silica Archibald, 1966	SPECIES
Nitzschia sigmoidea terato	Nitzschia sigmoidea (Nitzsch) W.Smith, 1853	SPECIES
Nitzschia salinicola	Nitzschia salinicola Aleem & Hustedt, 1951	SPECIES
Nitzschia supralitorea	Nitzschia supralitorea Lange-Bertalot, 1979	SPECIES
Nitzschia archibaldii terato	Nitzschia archibaldii Lange-Bertalot, 1980	SPECIES
Nitzschia tenella	Nitzschia tenellum Brébisson	SPECIES
Nitzschia tryblionella var. salinarum	Nitzschia tryblionella var. salinarum Grunow, 1880	VARIETY
Opephora cantalense	Opephora cantalense Héribaud-Joseph	SPECIES
Opephora horstiana	Opephora horstiana Witkowski, 1994	SPECIES
Odontidium hyemale	Odontidium hiemale (Lyngbye) Kützing, 1844	SPECIES
Opephora martyi	Opephora martyi	SPECIES
Opephora mutabilis	Opephora mutabilis (Grunow) Sabbe & Vyverman, 1995	SPECIES
Opephora olsenii	Opephora olsenii Møller, 1950	SPECIES
Odontella parva	-	-
Pinnularia abaujensis	Pinnularia abaujensis (Pantocsek) R.Ross, 1947	SPECIES
Planothidium abbreviatum	Planothidium abbreviatum (Reimer) Potapova, 2012	SPECIES
Pinnularia acrospheria	Pinnularia acrosphaeria Rabenhorst, 1853	SPECIES
Pinnularia acrospheria terato	Pinnularia acrosphaeria Rabenhorst, 1853	SPECIES
Pinnularia aperta var. doello-juradoi	Pinnularia aperta var. doellojurandoi (Frenguelli) Frenguelli, 1942	VARIETY
Placoneis anglophila	Placoneis anglophila (Lange-Bertalot) Lange-Bertalot, 2005	SPECIES
Pinnularia appendiculata var. irrorata	Pinnularia appendiculata var. irrorata Boye-Petersen, 1928	VARIETY
Pinnularia abaujensis var. linearis	Pinnularia abaujensis var. linearis (Hustedt) R.M.Patrick, 1966	VARIETY
Pinnularia abaujensis var. subundulata	Pinnularia abaujensis var. subundulata (Mayer) R.M.Patrick, 1966	VARIETY
Pseudostaurosira alvareziae	Pseudostaurosira alvareziae Cejudo-Figueiras, E.A.Morales & Ector, 2011	SPECIES
Pinnularia appendiculata	Pinnularia appendiculata (C.Agardh) Cleve	SPECIES
Parlibellus protractoides	Parlibellus protractoides (Hustedt) Witkowski & Lange-Bertalot, 2000	SPECIES
Psammothidium abundans f. rosenstockii	Psammothidium abundans f. rosenstockii (Lange-Bertalot) L.Bukhtiyarova & Round, 1996	FORM
Platessa bahlsii	Platessa bahlsii Potapova, 2012	SPECIES
Pinnularia bicapitata	Pinnularia bicapitata (Lagerstedt) Cleve, 1891	SPECIES
Pinnularia brebissonii var. diminuta	Pinnularia brebissonii var. diminuta (Grunow) Cleve, 1895	VARIETY
Pinnularia biceps	Pinnularia biceps W.Gregory, 1856	SPECIES
Psammothidium bioretii	Psammothidium bioretii (Germain) L.N.Bukhtiyarova & Round, 1996	SPECIES
Pinnularia brebissonii m 1	Pinnularia brebissonii (Kützing) Rabenhorst, 1864	SPECIES
Pseudostaurosira binodis	Pseudostaurosira binodis (Ehrenberg) M.B.Edlund, 2001	SPECIES
Puncticulata bodanica	Puncticulata bodanica (Eulenstein ex Grunow) H.Håkansson, 2002	SPECIES
Pinnularia borealis	Pinnularia borealis Ehrenberg, 1843	SPECIES
Pinnularia braunii	Pinnularia braunii (Grunow) Cleve, 1895	SPECIES
Pinnularia brebissonii var. curta	Pinnularia brebissonii var. curta (Otto Müller) Meister, 1912	VARIETY
Pinnularia brebissonii	Pinnularia brebissonii (Kützing) Rabenhorst, 1864	SPECIES
Pinnularia brauniana	Pinnularia brauniana (Grunow) Studnicka, 1888	SPECIES
Pseudostaurosira brevistriata terato	Pseudostaurosira brevistriata (Grunow) D.M.Williams & Round, 1987	SPECIES
Pseudostaurosira brevistriata var. turgida	Pseudostaurosira brevistriata var. turgida	VARIETY
Pseudostaurosira construens var. binodis	Pseudostaurosira construens var. binodis (Ehrenberg) Edlund, 1994	VARIETY
Psammothidium chlidanos	Psammothidium chlidanos (Hohn & Hellerman) Lange-Bertalot, 1999	SPECIES
Placoneis clementioides	Placoneis clementioides (Hustedt) E.J.Cox, 1988	SPECIES
Placoneis clementis	Placoneis clementis (Grunow) E.J.Cox, 1987	SPECIES
Placoneis cuneata	Placoneis cuneata (M.Möller ex Foged) M.Potapova, 2014	SPECIES
Pantocsekiella costei	Pantocsekiella costei (Druart & F.Straub, 1988) K.T.Kiss & Ács, 2016	SPECIES
Planothidium caputium	Planothidium caputium J.Zimmermann & R.Jahn, 2014	SPECIES
Placoneis constans	Placoneis constans (Hustedt) E.J.Cox, 2003	SPECIES
Placoneis vicina	Placoneis vicina (Hustedt) Metzeltin & Lange-Bertalot, 1998	SPECIES
Psammothidium daonense	Psammothidium daonense (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Planothidium daui	Planothidium daui (Foged) Lange-Bertalot, 1999	SPECIES
Pseudostaurosira brevistriata var. trigibba	Pseudostaurosira brevistriata var. trigibba (Pantocsek) E.Y.Haworth & M.G.Kelly	VARIETY
Pinnularia digitoradiata	Pinnularia digitoradiata Gregory, 1856	SPECIES
Pinnularia divergens	Pinnularia divergens W.Smith, 1853	SPECIES
Placoneis clementispronina	Placoneis clementispronina Lange-Bertalot & Wojtal, 2014	SPECIES
Pseudo-nitzschia pungens	Pseudo-nitzschia pungens (Grunow ex Cleve) G.R.Hasle, 1993	SPECIES
Placoneis clementis var. cuneata	Placoneis clementis (Grunow) E.J.Cox, 1987	SPECIES
Placoneis elginensis	Placoneis elginensis (W.Greg.) Cox	SPECIES
Peronia erinacea	Peronia erinacea	SPECIES
Pinnularia fasciata	Pinnularia fasciata Ehrenberg, 1854	SPECIES
Peronia fibula	Peronia fibula (Brébisson ex Kützing) R.Ross, 1956	SPECIES
Peronia fibula terato	Peronia fibula (Brébisson ex Kützing) R.Ross, 1956	SPECIES
Planothidium frequentissimum var. magnum	Planothidium frequentissimum var. magnum (F.Straub) Lange-Bertalot, 1999	VARIETY
Pelagodictyon fritzii	Pelagodictyon fritzii R.B.Clarke, 1994	SPECIES
Pseudofallacia tenera	Pseudofallacia tenera (Hust.) Y.Liu, J.P.Kociolek & Q.X.Wang	SPECIES
Placoneis gastrum	Placoneis gastrum (Ehrenberg) Mereschkovsky, 1903	SPECIES
Pinnularia globiceps var. crassior	Pinnularia globiceps var. crassior Grunow, 1880	VARIETY
Psammothidium grischunum f. daonensis	Psammothidium grischunum f. daonensis (Lange-Bertalot) Bukhtiyarova & Round, 1996	FORM
Pinnularia gibba	Pinnularia gibba Ehrenberg, 1843	SPECIES
Pinnularia gibbiformis	Pinnularia gibbiformis K.Krammer, 1992	SPECIES
Pinnularia gibba var. linearis	Pinnularia gibba var. linearis Godward, 1937	VARIETY
Pinnularia globiceps	Pinnularia globiceps W.Gregory, 1856	SPECIES
Pinnularia gracillima	Pinnularia gracillima W.Gregory, 1856	SPECIES
Psammothidium grischunum	Psammothidium grischunum (Wuthrich) Bukhtiyarova & Round, 1996	SPECIES
Planothidium granum	Planothidium granum (M.H.Hohn & Hellerman) Lange-Bertalot, 1999	SPECIES
Pinnularia gibba var. subundulata	Pinnularia gibba var. subundulata (Ant.Mayer) J.Frenguelli, 1933	VARIETY
Psammothidium helveticum	Psammothidium helveticum (Hustedt) L.N.Bukhtiyarova & Round, 1996	SPECIES
Peronia heribaudii	Peronia heribaudi	SPECIES
Pinnularia hilseana	Pinnularia hilseana Janisch, 1860	SPECIES
Psammothidium helveticum var. minor	Psammothidium helveticum var. minor (Flower & Jones) Buczkó, 2016	VARIETY
Psammothidium hustedtii	Psammothidium hustedtii (Krasske) Mayama, 2002	SPECIES
Pinnularia interrupta f. biceps	Pinnularia interrupta f. biceps (W.Gregory) Cleve, 1895	FORM
Pinnularia interrupta var. crassior	Pinnularia interrupta var. crassior (Grunow) Cleve, 1895	VARIETY
Pinnularia ilkaschoenfelderae	Pinnularia ilkaschoenfelderae K.Krammer, 2000	SPECIES
Pinnularia interrupta	Pinnularia interrupta Pedicino, 1867	SPECIES
Pinnularia placentula	Pinnularia placentula Ehrenberg, 1843	SPECIES
Pinnularia irrorata	Pinnularia irrorata (Grunow) Hustedt, 1942	SPECIES
Prestauroneis integra	Prestauroneis integra (W.Smith) K.Bruder, 2008	SPECIES
Pinnularia sp. terato	-	-
Psammothidium kryophilum	Psammothidium kryophilum (Petersen) E.Reichardt, 2004	SPECIES
Psammothidium lauenburgianum	Psammothidium lauenburgianum (Hustedt) Bukhtiyarova & Round, 1996	SPECIES
Planothidium biporomum	Planothidium biporomum (M.H.Hohn & Hellerman) Lange-Bertalot, 1999	SPECIES
Planothidium lemmermannii	Planothidium lemmermannii (Hustedt) E.A.Morales, 2006	SPECIES
Planothidium engelbrechtii	Planothidium engelbrechtii (Cholnoky) Round & L.Bukhtiyarova, 1996	SPECIES
Pleurosira laevis	Pleurosira laevis (Ehrenberg) Compère, 1982	SPECIES
Planothidium frequentissimum	Planothidium frequentissimum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Planothidium frequentissimum terato	Planothidium frequentissimum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Platessa holsatica	Platessa holsatica (Hustedt) H.Lange-Bertalot, 2004	SPECIES
Platessa hustedtii	Platessa hustedtii (Krasske) Lange-Bertalot, 2004	SPECIES
Placoneis ignorata	Placoneis ignorata (Schimanski) Lange-Bertalot, 2000	SPECIES
Planothidium ellipticum	Planothidium ellipticum (Cleve) Round & Bukhtiyarova, 1996	SPECIES
Pleurosigma nodiferum	Pleurosigma nodiferum Grunow, 1880	SPECIES
Platessa lutheri	Platessa lutheri (Hustedt) Potapova, 2012	SPECIES
Pinnularia lundii	Pinnularia lundii Hustedt, 1954	SPECIES
Planothidium victori	Planothidium victori P.M.Novis, J.Braidwood & C.Kilroy, 2012	SPECIES
Pinnularia major	Pinnularia major (Kützing) Rabenhorst, 1853	SPECIES
Pinnularia microstauron var. brebissonii f. diminuta	Pinnularia microstauron f. diminuta Matvienko, 1941	FORM
Pinnularia microstauron var. brebissonii	Pinnularia microstauron var. brebissonii Skvortzow, 1930	VARIETY
Pinnularia mediocris	Pinnularia mediocris (Krasske) F.W.Mills, 1935	SPECIES
Pinnularia mesolepta	Pinnularia mesolepta (Ehrenberg) W.Smith, 1853	SPECIES
Pinnularia mesolepta m 1	Pinnularia mesolepta (Ehrenberg) W.Smith, 1853	SPECIES
Pinnularia microstauron	Pinnularia microstauron Mayer, 1913	SPECIES
Psammothidium montanum	Psammothidium montanum (Krasske) Mayuma, 2002	SPECIES
Pseudofallacia monoculata	Pseudofallacia monoculata (Hustedt) Yan Liu bis, Kociolek & Quanxi Wang	SPECIES
Pinnularia molaris	Pinnularia molaris (Grunow) Cleve, 1895	SPECIES
Psammothidium marginulatum	Psammothidium marginulatum (Grunow) L.Bukhtiyarova & Round, 1996	SPECIES
Pinnularia microstauron terato	Pinnularia microstauron Mayer, 1913	SPECIES
Psammothidium hustedtii	Psammothidium hustedtii (Krasske) Mayama, 2002	SPECIES
Psammothidium montanum	Psammothidium montanum (Krasske) Mayuma, 2002	SPECIES
Pinnularia muscicola	Pinnularia muscicola J.B.Petersen, 1928	SPECIES
Placoneis nanoclementis	Placoneis nanoclementis Lange-Bertalot & Wojtal, 2014	SPECIES
Planothidium conspicuum	Planothidium conspicuum (A.Mayer) M.Aboal, 2003	SPECIES
Pinnularia nodosa	Pinnularia nodosa (Ehrenberg) W.Smith, 1856	SPECIES
Pinnularia nobilis var. intermedia	Pinnularia nobilis var. intermedia (Dippel) Mayer, 1913	VARIETY
Pinnularia obscuriformis	Pinnularia obscuriformis K.Krammer, 2000	SPECIES
Psammothidium oblongellum	Psammothidium oblongellum (Østrup) Van de Vijver, 2002	SPECIES
Platessa oblongella	Platessa oblongella (Østrup) C.E.Wetzel, Lange-Bertalot & Ector	SPECIES
Pinnularia obscura	Pinnularia obscura Krasske, 1932	SPECIES
Pantocsekiella ocellata	Pantocsekiella ocellata (Pantocsek, 1901) K.T.Kiss & Ács, 2016	SPECIES
Psammothidium oblongellum terato	Psammothidium oblongellum (Østrup) Van de Vijver, 2002	SPECIES
Pinnularia parva	Pinnularia parva Ehrenberg	SPECIES
Planothidium pseudotanense	Planothidium pseudotanense (Cleve-Euler) Lange-Bertalot, 1999	SPECIES
Pseudostephanodiscus perforatus	Pseudostephanodiscus perforatus (Genkal & Kuzmin) Siemenska, 1988	SPECIES
Placoneis placentula	Placoneis placentula Heinzerling, 1908	SPECIES
Placoneis placentula f. rostrata	Placoneis placentula f. rostrata (A.Mayer) L.Bukhtiyarova, 1995	FORM
Paraplaconeis placentula	Paraplaconeis placentula (Ehrenb.) Kulikovskiy & Lange-Bert.	SPECIES
Pinnularia perirrorata	Pinnularia perirrorata Krammer, 2000	SPECIES
Parlibellus protracta	Parlibellus protracta (Grunow) Witkowski, Lange-Bertalot & Metzeltin, 2000	SPECIES
Pseudostaurosira parasitica	Pseudostaurosira parasitica (W.Smith) Morales, 2003	SPECIES
Placoneis pseudanglica	Placoneis pseudanglica E.J.Cox, 1987	SPECIES
Pseudostaurosira parasitica var. subconstricta	Pseudostaurosira parasitica var. subconstricta (Grunow) E.A.Morales, 2003	VARIETY
Pseudostaurosira parasitica var. subconstricta terato	Pseudostaurosira parasitica var. subconstricta (Grunow) E.A.Morales, 2003	VARIETY
Pleurosigma planctonicum	Pleurosigma planctonicum R.Simonsen, 1974	SPECIES
Pleurosigma planktonicum	Pleurosigma planktonica Schrader, 1976	SPECIES
Pseudostaurosira parasitica terato	Pseudostaurosira parasitica (W.Smith) Morales, 2003	SPECIES
Pinnularia parvulissima	Pinnularia parvulissima Krammer, 2000	SPECIES
Pinnularia parvulissima terato	Pinnularia parvulissima Krammer, 2000	SPECIES
Puncticulata radiosa f. anormale	Puncticulata radiosa (Grunow) H.Hakansson, 2002	SPECIES
Puncticulata radiosa	Puncticulata radiosa (Grunow) H.Hakansson, 2002	SPECIES
Planothidium robustius terato	Planothidium robustius Lange-Bertalot, 1999	SPECIES
Planothidium robustius	Planothidium robustius Lange-Bertalot, 1999	SPECIES
Planothidium rostratoholarcticum	Planothidium rostratoholarcticum Lange-Bertalot & Bąk, 2014	SPECIES
Psammothidium rossii	Psammothidium rossii (Hustedt) L.Bukhtiyarova & Round, 1996	SPECIES
Psammothidium rosenstockii	Psammothidium rosenstockii (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES
Planothidium rostratum	Planothidium rostratum (Østrup) Lange-Bertalot, 1999	SPECIES
Pinnularia rupestris	Pinnularia rupestris Hantzsch, 1861	SPECIES
Psammothidium sacculum	Psammothidium sacculum (J.R.Carter) L.Bukhtiyarova, 1996	SPECIES
Pinnularia saprophila	Pinnularia saprophila Lange-Bertalot, Kobayasi & Krammer, 2000	SPECIES
Psammothidium subatomoides	Psammothidium subatomoides (Hustedt) L.Bukhtiyarova & Round, 1996	SPECIES
Pseudostaurosira brevistriata	Pseudostaurosira brevistriata (Grunow) D.M.Williams & Round, 1987	SPECIES
Pinnularia subcapitata	Pinnularia subcapitata W.Gregory, 1856	SPECIES
Pleurosigma sciotoense	Pleurosigma sciotoense Sull. & Wormley	SPECIES
Psammothidium scoticum	Psammothidium scoticum (R.J.Flower & V.J.Jones) L.Bukhtiyarova & Round, 1996	SPECIES
Pinnularia subcapitata var. elongata	Pinnularia subcapitata var. elongata Krammer, 1992	VARIETY
Pinnularia subgibba	Pinnularia subgibba Krammer, 1992	SPECIES
Pinnularia subcapitata var. hilseana	Pinnularia subcapitata var. hilseana Mayer, 1917	VARIETY
Pinnularia schoenfelderi	Pinnularia schoenfelderi Krammer, 1992	SPECIES
Pinnularia silvatica	Pinnularia silvatica J.B.Petersen, 1935	SPECIES
Pinnularia sinistra	Pinnularia sinistra Krammer, 1992	SPECIES
Pinnularia stauroptera var. longa	Pinnularia stauroptera f. longa (Cleve-Euler) Cleve-Euler, 1955	FORM
Pinnularia streptoraphe var. minor	Pinnularia streptoraphe var. minor Skvortzow, 1938	VARIETY
Pinnularia soehrensis	Pinnularia soehrensis (G.Krasske) J.B.Petersen, 1932	SPECIES
Pinnularia soehrensis var. muscicola	Pinnularia soehrensis var. muscicola (J.B.Petersen) J.B.Petersen	VARIETY
Pinnularia soehrensis	Pinnularia soehrensis (G.Krasske) J.B.Petersen, 1932	SPECIES
Pinnularia stauroptera var. parva	Pinnularia stauroptera var. parva	VARIETY
Psammothidium rechtensis	Psammothidium rechtensis (Leclercq) Lange-Bertalot, 1999	SPECIES
Pseudostaurosira subsalina	Pseudostaurosira subsalina (Hustedt) E.A.Morales, 2005	SPECIES
Pseudostaurosira elliptica	Fragilaria H.C.Lyngbye, 1819	GENUS
Pinnularia stauroptera	Pinnularia stauroptera	SPECIES
Psammothidium strenzkei	Psammothidium strenzkei (Hustedt) L.Bukhtiyarova, 1996	SPECIES
Paralia sulcata	Paralia sulcata (Ehrenberg) Cleve, 1873	SPECIES
Platessa conspicua	Platessa conspicua (A.Mayer) Lange-Bertalot, 2004	SPECIES
Planothidium conspicuum	Planothidium conspicuum (A.Mayer) M.Aboal, 2003	SPECIES
Planothidium delicatulum	Planothidium delicatulum (Kützing) Round & Bukhtiyarova, 1996	SPECIES
Planothidium dubium	Planothidium dubium (Grunow) Round & Bukhtiyarova, 1996	SPECIES
Planothidium ellipticum	Planothidium ellipticum (Cleve) Round & Bukhtiyarova, 1996	SPECIES
Planothidium hauckianum	Planothidium hauckianum (Grunow) Round & Bukhtiyarova, 1996	SPECIES
Pleurosira thermalis	Pleurosira thermalis (Meneghini) San Léon, 1848	SPECIES
Pinnularia tirolensis var. julma	Pinnularia tirolensis (Metzeltin & Krammer) K.Krammer, 2000	SPECIES
Planothidium lanceolatum	Planothidium lanceolatum (Brébisson ex Kützing) Bukhtiyarova, 1999	SPECIES
Planothidium lanceolatum	Planothidium lanceolatum (Brébisson ex Kützing) Bukhtiyarova, 1999	SPECIES
Planothidium lanceolatum var. elliptica	Planothidium lanceolatum var. elliptica (Cleve) Bukhtiyarova, 1999	VARIETY
Planothidium lanceolatum terato	Planothidium lanceolatum (Brébisson ex Kützing) Bukhtiyarova, 1999	SPECIES
Platessa montana	Platessa montana (Krasske) H.Lange-Bertalot, 2004	SPECIES
Planothidium oestrupii	Planothidium oestrupii (A.Cleve) Round & L.Bukhtiyarova, 1996	SPECIES
Planothidium peragallii	Planothidium peragallii (Brun & Héribaud) Round & Bukhtiyarova, 1996	SPECIES
Praestephanos triporus	Praestephanos triporus (Genkal & G.V.Kuzmin) A.Tuji & J.-S.Ki, 2014	SPECIES
Planothidium rostratum	Planothidium rostratum (Østrup) Lange-Bertalot, 1999	SPECIES
Puncticulata balatonis	Puncticulata balatonis (Pantocsek) Wojtal	SPECIES
Puncticulata comta	Puncticulata comta (Ehrenberg) H.Hakansson, 2002	SPECIES
Punctastriata lancettula	Punctastriata lancettula (Schumann) P.B.Hamilton & P.A.Siver, 2008	SPECIES
Pulchella obsita	Pulchella obsita (Hustedt) H.Lange-Bertalot, 2004	SPECIES
Puncticulata praetermissa	Puncticulata praetermissa (J.W.G.Lund) H.Håkansson	SPECIES
Pseudostaurosira	Pseudostaurosira D.M.Williams & F.E.Round, 1988	GENUS
Psammothidium ventralis	Psammothidium ventralis (Krasske) Bukhtiyarova & Round, 1996	SPECIES
Pinnularia viridiformis	Pinnularia viridiformis Krammer, 2000	SPECIES
Pinnularia viridis	Pinnularia viridis (Nitzsch) Ehrenberg, 1843	SPECIES
Pinnularia viridis var. minor	Pinnularia viridis var. minor Cleve, 1891	VARIETY
Pinnularia viridis var. rupestris	Pinnularia viridis var. rupestris	VARIETY
Rhoicosphenia abbreviata	Rhoicosphenia abbreviata (C.Agardh) Lange-Bertalot, 1980	SPECIES
Rhoicosphenia abbreviata terato	Rhoicosphenia abbreviata (C.Agardh) Lange-Bertalot, 1980	SPECIES
Rhaphoneis amphiceros	Rhaphoneis amphiceros (Ehrenberg) Ehrenberg, 1844	SPECIES
Rossithidium anastasiae	Rossithidium anastasiae (Kaczmarska) Potapova, 2012	SPECIES
Rhaphoneis surirella	Rhaphoneis surirella (Ehrenberg) Grunow, 1881	SPECIES
Rhoicosphenia curvata	Rhoicosphenia curvata (Kützing) Grunow, 1860	SPECIES
Rhopalodia gibberula	Rhopalodia gibberula (Ehrenberg) Otto Müller, 1895	SPECIES
Rhopalodia gibba	Rhopalodia gibba (Ehrenberg) Otto Müller, 1895	SPECIES
Rhopalodia gibba var. ventricosa	Rhopalodia gibba var. ventricosa (Kützing) H.Peragallo & M.Peragallo, 1900	VARIETY
Rossithidium linearis	Rossithidium linearis (W.Smith) Round & Bukhtiyarova, 1996	SPECIES
Rossithidium petersennii	Rossithidium petersennii (Hustedt) Round & Bukhtiyarova, 1996	SPECIES
Rossithidium petersenii	Rossithidium petersenii (Hustedt) Round & L.Bukhtiyarova ex Aboal, 2003	SPECIES
Rossithidium pusillum	Rossithidium pusillum (Grunow) Round & Bukhtiyarova, 1996	SPECIES
Reimeria sinuata	Reimeria sinuata (Gregory) Kociolek & Stoermer, 1987	SPECIES
Reimeria sinuata terato	Reimeria sinuata (Gregory) Kociolek & Stoermer, 1987	SPECIES
Reimeria uniseriata	Reimeria uniseriata S.E.Sala, J.M.Guerrero & M.E.Ferrario, 1993	SPECIES
Reimeria uniseriata terato	Reimeria uniseriata S.E.Sala, J.M.Guerrero & M.E.Ferrario, 1993	SPECIES
Synedra acus var. angustissima	Synedra acus Ehrenberg, 1854	SPECIES
Synedra actinastroides	Synedra actinastroides Lemmermann, 1900	SPECIES
Synedra acus	Synedra acus Ehrenberg, 1854	SPECIES
Synedra acus	Synedra acus Ehrenberg, 1854	SPECIES
Stephanodiscus agassizensis	Stephanodiscus agassizensis Håk. & Kling, 1989	SPECIES
Sellaphora aggerica	Sellaphora aggerica (E.Reichardt) Falasco & Ector, 2009	SPECIES
Stauroneis anceps f. gracilis	Stauroneis anceps f. gracilis Rabenhorst, 1864	FORM
Stephanodiscus alpinus	Stephanodiscus alpinus Hustedt, 1942	SPECIES
Synedra amphicephala var. austriaca	Synedra amphicephala var. austriaca (Grunow) Hustedt, 1932	VARIETY
Synedra amphicephala var. densestriata	Synedra amphicephala var. densestriata Fontell, 1917	VARIETY
Synedra amphicephala var. fallax	Synedra amphicephala var. fallax Grunow, 1881	VARIETY
Synedra amphicephala	Synedra amphicephala	SPECIES
Synedra amphicephala var. tenuicapitata	Synedra amphicephala var. tenuicapitata Manguin, 1949	VARIETY
Surirella angusta	Surirella angusta Kützing, 1844	SPECIES
Surirella angusta terato	Surirella angusta Kützing, 1844	SPECIES
Surirella amphioxys	Surirella amphioxys	SPECIES
Surirella angusta var. pinnata	Surirella angusta var. pinnata Meister, 1912	VARIETY
Synedra acus var. radians	Synedra acus var. radians (Kützing) Hustedt, 1930	VARIETY
Stephanodiscus astraea var. minutula	Stephanodiscus astraea var. minutula (Kützing) Grunow, 1882	VARIETY
Stephanodiscus astraea	Stephanodiscus astraea (Ehrenberg) Grunow, 1880	SPECIES
Surirella asymmetrica	Surirella asymmetrica Østrup, 1918	SPECIES
Surirella biseriata var. bifrons	Surirella biseriata var. bifrons (Ehrenberg) Hustedt, 1911	VARIETY
Synedra berolinensis	Synedra berolinensis	SPECIES
Surirella biseriata f. amphioxys	Surirella biseriata f. amphioxys (W.Smith) Hustedt, 1911	FORM
Surirella bifrons	Surirella bifrons Jenner, 1845	SPECIES
Stephanodiscus binderanus	Stephanodiscus binderanus (Kützing) Krieger, 1927	SPECIES
Surirella birostrata	Surirella birostrata Mayer, 1916	SPECIES
Surirella biseriata	Surirella biseriata Brébisson, 1835	SPECIES
Surirella birostrata terato	Surirella birostrata Mayer, 1916	SPECIES
Surirella brebissonii var. kuetzingii	Surirella brebissonii var. kuetzingii Krammer & Lange-Bertalot, 1987	VARIETY
