taxa	scientificName	rank	kingdom	phylum	class	order	family	genus
Pinnularia abaujensis var. linearis	Pinnularia abaujensis var. linearis (Hustedt) R.M.Patrick, 1966	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia abaujensis var. subundulata	Pinnularia abaujensis var. subundulata (Mayer) R.M.Patrick, 1966	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pseudostaurosira alvareziae	Pseudostaurosira alvareziae Cejudo-Figueiras, E.A.Morales & Ector, 2011	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Pseudostaurosira
Pinnularia appendiculata	Pinnularia appendiculata (C.Agardh) Cleve	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Parlibellus protractoides	Parlibellus protractoides (Hustedt) Witkowski & Lange-Bertalot, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Psammothidium abundans f. rosenstockii	Psammothidium abundans f. rosenstockii (Lange-Bertalot) L.Bukhtiyarova & Round, 1996	FORM	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Platessa bahlsii	Platessa bahlsii Potapova, 2012	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Pinnularia bicapitata	Pinnularia bicapitata (Lagerstedt) Cleve, 1891	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia brebissonii var. diminuta	Pinnularia brebissonii var. diminuta (Grunow) Cleve, 1895	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia biceps	Pinnularia biceps W.Gregory, 1856	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Psammothidium bioretii	Psammothidium bioretii (Germain) L.N.Bukhtiyarova & Round, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Pinnularia brebissonii m 1	Pinnularia brebissonii (Kützing) Rabenhorst, 1864	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pseudostaurosira binodis	Pseudostaurosira binodis (Ehrenberg) M.B.Edlund, 2001	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Pseudostaurosira
Puncticulata bodanica	Puncticulata bodanica (Eulenstein ex Grunow) H.Håkansson, 2002	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Puncticulata
Pinnularia borealis	Pinnularia borealis Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia braunii	Pinnularia braunii (Grunow) Cleve, 1895	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia brebissonii var. curta	Pinnularia brebissonii var. curta (Otto Müller) Meister, 1912	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia brebissonii	Pinnularia brebissonii (Kützing) Rabenhorst, 1864	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia brauniana	Pinnularia brauniana (Grunow) Studnicka, 1888	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pseudostaurosira brevistriata terato	Pseudostaurosira brevistriata (Grunow) D.M.Williams & Round, 1987	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Pseudostaurosira
Pseudostaurosira brevistriata var. turgida	Pseudostaurosira brevistriata var. turgida	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Pseudostaurosira construens var. binodis	Pseudostaurosira construens var. binodis (Ehrenberg) Edlund, 1994	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Pseudostaurosira
Psammothidium chlidanos	Psammothidium chlidanos (Hohn & Hellerman) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Placoneis clementioides	Placoneis clementioides (Hustedt) E.J.Cox, 1988	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Placoneis clementis	Placoneis clementis (Grunow) E.J.Cox, 1987	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Placoneis cuneata	Placoneis cuneata (M.Möller ex Foged) M.Potapova, 2014	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Pantocsekiella costei	Pantocsekiella costei (Druart & F.Straub, 1988) K.T.Kiss & Ács, 2016	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Pantocsekiella
Planothidium caputium	Planothidium caputium J.Zimmermann & R.Jahn, 2014	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Placoneis constans	Placoneis constans (Hustedt) E.J.Cox, 2003	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Placoneis vicina	Placoneis vicina (Hustedt) Metzeltin & Lange-Bertalot, 1998	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Psammothidium daonense	Psammothidium daonense (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Planothidium daui	Planothidium daui (Foged) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pseudostaurosira brevistriata var. trigibba	Pseudostaurosira brevistriata var. trigibba (Pantocsek) E.Y.Haworth & M.G.Kelly	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Pseudostaurosira
Pinnularia digitoradiata	Pinnularia digitoradiata Gregory, 1856	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Pinnularia divergens	Pinnularia divergens W.Smith, 1853	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Placoneis clementispronina	Placoneis clementispronina Lange-Bertalot & Wojtal, 2014	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Pseudo-nitzschia pungens	Pseudo-nitzschia pungens (Grunow ex Cleve) G.R.Hasle, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia
Placoneis clementis var. cuneata	Placoneis clementis (Grunow) E.J.Cox, 1987	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Placoneis elginensis	Placoneis elginensis (W.Greg.) Cox	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Peronia erinacea	Peronia erinacea	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Peroniaceae	Peronia
Pinnularia fasciata	Pinnularia fasciata Ehrenberg, 1854	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Peronia fibula	Peronia fibula (Brébisson ex Kützing) R.Ross, 1956	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Peroniaceae	Peronia
Peronia fibula terato	Peronia fibula (Brébisson ex Kützing) R.Ross, 1956	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Peroniaceae	Peronia
Planothidium frequentissimum var. magnum	Planothidium frequentissimum var. magnum (F.Straub) Lange-Bertalot, 1999	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pelagodictyon fritzii	Pelagodictyon fritzii R.B.Clarke, 1994	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Pelagodictyon
Pseudofallacia tenera	Pseudofallacia tenera (Hust.) Y.Liu, J.P.Kociolek & Q.X.Wang	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Pseudofallacia
Placoneis gastrum	Placoneis gastrum (Ehrenberg) Mereschkovsky, 1903	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Pinnularia globiceps var. crassior	Pinnularia globiceps var. crassior Grunow, 1880	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Psammothidium grischunum f. daonensis	Psammothidium grischunum f. daonensis (Lange-Bertalot) Bukhtiyarova & Round, 1996	FORM	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pinnularia gibba	Pinnularia gibba Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia gibbiformis	Pinnularia gibbiformis K.Krammer, 1992	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia gibba var. linearis	Pinnularia gibba var. linearis Godward, 1937	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia globiceps	Pinnularia globiceps W.Gregory, 1856	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia gracillima	Pinnularia gracillima W.Gregory, 1856	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Psammothidium grischunum	Psammothidium grischunum (Wuthrich) Bukhtiyarova & Round, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Planothidium granum	Planothidium granum (M.H.Hohn & Hellerman) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pinnularia gibba var. subundulata	Pinnularia gibba var. subundulata (Ant.Mayer) J.Frenguelli, 1933	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Psammothidium helveticum	Psammothidium helveticum (Hustedt) L.N.Bukhtiyarova & Round, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Peronia heribaudii	Peronia heribaudi	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Peroniaceae	Peronia
Pinnularia hilseana	Pinnularia hilseana Janisch, 1860	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Psammothidium helveticum var. minor	Psammothidium helveticum var. minor (Flower & Jones) Buczkó, 2016	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Psammothidium hustedtii	Psammothidium hustedtii (Krasske) Mayama, 2002	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Cocconeidaceae	Cocconeis
Pinnularia interrupta f. biceps	Pinnularia interrupta f. biceps (W.Gregory) Cleve, 1895	FORM	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia interrupta var. crassior	Pinnularia interrupta var. crassior (Grunow) Cleve, 1895	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia ilkaschoenfelderae	Pinnularia ilkaschoenfelderae K.Krammer, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia interrupta	Pinnularia interrupta Pedicino, 1867	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia placentula	Pinnularia placentula Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Pinnularia irrorata	Pinnularia irrorata (Grunow) Hustedt, 1942	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Prestauroneis integra	Prestauroneis integra (W.Smith) K.Bruder, 2008	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia sp. terato	-	-	-	-	-	-	-	-
Psammothidium kryophilum	Psammothidium kryophilum (Petersen) E.Reichardt, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Psammothidium lauenburgianum	Psammothidium lauenburgianum (Hustedt) Bukhtiyarova & Round, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Planothidium biporomum	Planothidium biporomum (M.H.Hohn & Hellerman) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Planothidium lemmermannii	Planothidium lemmermannii (Hustedt) E.A.Morales, 2006	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Planothidium engelbrechtii	Planothidium engelbrechtii (Cholnoky) Round & L.Bukhtiyarova, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pleurosira laevis	Pleurosira laevis (Ehrenberg) Compère, 1982	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Triceratiales	Triceratiaceae	Pleurosira
Planothidium frequentissimum	Planothidium frequentissimum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Planothidium frequentissimum terato	Planothidium frequentissimum (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Platessa holsatica	Platessa holsatica (Hustedt) H.Lange-Bertalot, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Platessa hustedtii	Platessa hustedtii (Krasske) Lange-Bertalot, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Cocconeidaceae	Cocconeis
Placoneis ignorata	Placoneis ignorata (Schimanski) Lange-Bertalot, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Planothidium ellipticum	Planothidium ellipticum (Cleve) Round & Bukhtiyarova, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Pleurosigma nodiferum	Pleurosigma nodiferum Grunow, 1880	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Pleurosigma
Platessa lutheri	Platessa lutheri (Hustedt) Potapova, 2012	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Platessa
Pinnularia lundii	Pinnularia lundii Hustedt, 1954	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Planothidium victori	Planothidium victori P.M.Novis, J.Braidwood & C.Kilroy, 2012	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Pinnularia major	Pinnularia major (Kützing) Rabenhorst, 1853	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia microstauron var. brebissonii f. diminuta	Pinnularia microstauron f. diminuta Matvienko, 1941	FORM	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia microstauron var. brebissonii	Pinnularia microstauron var. brebissonii Skvortzow, 1930	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia mediocris	Pinnularia mediocris (Krasske) F.W.Mills, 1935	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Pinnularia mesolepta	Pinnularia mesolepta (Ehrenberg) W.Smith, 1853	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia mesolepta m 1	Pinnularia mesolepta (Ehrenberg) W.Smith, 1853	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia microstauron	Pinnularia microstauron Mayer, 1913	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Psammothidium montanum	Psammothidium montanum (Krasske) Mayuma, 2002	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pseudofallacia monoculata	Pseudofallacia monoculata (Hustedt) Yan Liu bis, Kociolek & Quanxi Wang	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Pseudofallacia
Pinnularia molaris	Pinnularia molaris (Grunow) Cleve, 1895	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Psammothidium marginulatum	Psammothidium marginulatum (Grunow) L.Bukhtiyarova & Round, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pinnularia microstauron terato	Pinnularia microstauron Mayer, 1913	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Psammothidium hustedtii	Psammothidium hustedtii (Krasske) Mayama, 2002	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Cocconeidaceae	Cocconeis
Psammothidium montanum	Psammothidium montanum (Krasske) Mayuma, 2002	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pinnularia muscicola	Pinnularia muscicola J.B.Petersen, 1928	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Placoneis nanoclementis	Placoneis nanoclementis Lange-Bertalot & Wojtal, 2014	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Planothidium conspicuum	Planothidium conspicuum (A.Mayer) M.Aboal, 2003	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pinnularia nodosa	Pinnularia nodosa (Ehrenberg) W.Smith, 1856	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia nobilis var. intermedia	Pinnularia nobilis var. intermedia (Dippel) Mayer, 1913	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia obscuriformis	Pinnularia obscuriformis K.Krammer, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Psammothidium oblongellum	Psammothidium oblongellum (Østrup) Van de Vijver, 2002	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Platessa oblongella	Platessa oblongella (Østrup) C.E.Wetzel, Lange-Bertalot & Ector	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Platessa
Pinnularia obscura	Pinnularia obscura Krasske, 1932	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pantocsekiella ocellata	Pantocsekiella ocellata (Pantocsek, 1901) K.T.Kiss & Ács, 2016	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Pantocsekiella
Psammothidium oblongellum terato	Psammothidium oblongellum (Østrup) Van de Vijver, 2002	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Pinnularia parva	Pinnularia parva Ehrenberg	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Planothidium pseudotanense	Planothidium pseudotanense (Cleve-Euler) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pseudostephanodiscus perforatus	Pseudostephanodiscus perforatus (Genkal & Kuzmin) Siemenska, 1988	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Stephanodiscus
Placoneis placentula	Placoneis placentula Heinzerling, 1908	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Placoneis placentula f. rostrata	Placoneis placentula f. rostrata (A.Mayer) L.Bukhtiyarova, 1995	FORM	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Paraplaconeis placentula	Paraplaconeis placentula (Ehrenb.) Kulikovskiy & Lange-Bert.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Pinnularia perirrorata	Pinnularia perirrorata Krammer, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Parlibellus protracta	Parlibellus protracta (Grunow) Witkowski, Lange-Bertalot & Metzeltin, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Pseudostaurosira parasitica	Pseudostaurosira parasitica (W.Smith) Morales, 2003	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Pseudostaurosira
Placoneis pseudanglica	Placoneis pseudanglica E.J.Cox, 1987	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Placoneis
Pseudostaurosira parasitica var. subconstricta	Pseudostaurosira parasitica var. subconstricta (Grunow) E.A.Morales, 2003	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Pseudostaurosira
Pseudostaurosira parasitica var. subconstricta terato	Pseudostaurosira parasitica var. subconstricta (Grunow) E.A.Morales, 2003	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Pseudostaurosira
Pleurosigma planctonicum	Pleurosigma planctonicum R.Simonsen, 1974	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Pleurosigma
Pleurosigma planktonicum	Pleurosigma planktonica Schrader, 1976	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Pleurosigma
Pseudostaurosira parasitica terato	Pseudostaurosira parasitica (W.Smith) Morales, 2003	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Pseudostaurosira
Pinnularia parvulissima	Pinnularia parvulissima Krammer, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia parvulissima terato	Pinnularia parvulissima Krammer, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Puncticulata radiosa f. anormale	Puncticulata radiosa (Grunow) H.Hakansson, 2002	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Puncticulata
Puncticulata radiosa	Puncticulata radiosa (Grunow) H.Hakansson, 2002	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Puncticulata
Planothidium robustius terato	Planothidium robustius Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Planothidium robustius	Planothidium robustius Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Planothidium rostratoholarcticum	Planothidium rostratoholarcticum Lange-Bertalot & Bąk, 2014	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Psammothidium rossii	Psammothidium rossii (Hustedt) L.Bukhtiyarova & Round, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Psammothidium rosenstockii	Psammothidium rosenstockii (Lange-Bertalot) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Planothidium rostratum	Planothidium rostratum (Østrup) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Pinnularia rupestris	Pinnularia rupestris Hantzsch, 1861	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Psammothidium sacculum	Psammothidium sacculum (J.R.Carter) L.Bukhtiyarova, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Pinnularia saprophila	Pinnularia saprophila Lange-Bertalot, Kobayasi & Krammer, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Psammothidium subatomoides	Psammothidium subatomoides (Hustedt) L.Bukhtiyarova & Round, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Pseudostaurosira brevistriata	Pseudostaurosira brevistriata (Grunow) D.M.Williams & Round, 1987	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Pseudostaurosira
Pinnularia subcapitata	Pinnularia subcapitata W.Gregory, 1856	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pleurosigma sciotoense	Pleurosigma sciotoense Sull. & Wormley	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma
Psammothidium scoticum	Psammothidium scoticum (R.J.Flower & V.J.Jones) L.Bukhtiyarova & Round, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Pinnularia subcapitata var. elongata	Pinnularia subcapitata var. elongata Krammer, 1992	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia subgibba	Pinnularia subgibba Krammer, 1992	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia subcapitata var. hilseana	Pinnularia subcapitata var. hilseana Mayer, 1917	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia schoenfelderi	Pinnularia schoenfelderi Krammer, 1992	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Pinnularia silvatica	Pinnularia silvatica J.B.Petersen, 1935	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
